teamID,yearID,total_payroll,winning_pct,franchID,W,G
HOU,2005,76779000,54.60122699,HOU,89,163
LAN,2005,83039000,43.82716049,LAD,71,162
MIL,2005,39934833,50,MIL,81,162
NYN,2005,101305821,51.2345679,NYM,83,162
PHI,2005,95522000,54.32098765,PHI,88,162
PIT,2005,38133000,41.35802469,PIT,67,162
SDN,2005,63290833,50.61728395,SDP,82,162
SFN,2005,90199500,46.2962963,SFG,75,162
SLN,2005,92106833,61.72839506,STL,100,162
WAS,2005,48581500,50,WSN,81,162
BAL,2006,72585582,43.20987654,BAL,70,162
BOS,2006,120099824,53.08641975,BOS,86,162
CHA,2006,102750667,55.55555556,CHW,90,162
CLE,2006,56031500,48.14814815,CLE,78,162
DET,2006,82612866,58.64197531,DET,95,162
KCA,2006,47294000,38.27160494,KCR,62,162
LAA,2006,103472000,54.9382716,ANA,89,162
MIN,2006,63396006,59.25925926,MIN,96,162
NYA,2006,194663079,59.87654321,NYY,97,162
OAK,2006,62243079,57.40740741,OAK,93,162
SEA,2006,87959833,48.14814815,SEA,78,162
TBA,2006,34917967,37.65432099,TBD,61,162
TEX,2006,68228662,49.38271605,TEX,80,162
TOR,2006,71365000,53.7037037,TOR,87,162
ARI,2006,59684226,46.91358025,ARI,76,162
ATL,2006,90156876,48.7654321,ATL,79,162
CHN,2006,94424499,40.74074074,CHC,66,162
CIN,2006,60909519,49.38271605,CIN,80,162
COL,2006,41233000,46.91358025,COL,76,162
FLO,2006,14671500,48.14814815,FLA,78,162
HOU,2006,88694435,50.61728395,HOU,82,162
LAN,2006,98447187,54.32098765,LAD,88,162
MIL,2006,57568333,46.2962963,MIL,75,162
NYN,2006,101084963,59.87654321,NYM,97,162
PHI,2006,88273333,52.4691358,PHI,85,162
PIT,2006,46717750,41.35802469,PIT,67,162
SDN,2006,69896141,54.32098765,SDP,88,162
SFN,2006,90056419,47.20496894,SFG,76,161
SLN,2006,88891371,51.55279503,STL,83,161
WAS,2006,63143000,43.82716049,WSN,71,162
BAL,2007,93174808,42.59259259,BAL,69,162
BOS,2007,143026214,59.25925926,BOS,96,162
CHA,2007,108671833,44.44444444,CHW,72,162
CLE,2007,61673267,59.25925926,CLE,96,162
DET,2007,94800369,54.32098765,DET,88,162
KCA,2007,67116500,42.59259259,KCR,69,162
LAA,2007,109251333,58.02469136,ANA,94,162
MIN,2007,71439500,48.7654321,MIN,79,162
NYA,2007,189259045,58.02469136,NYY,94,162
OAK,2007,79366940,46.91358025,OAK,76,162
SEA,2007,106460833,54.32098765,SEA,88,162
TBA,2007,24123500,40.74074074,TBD,66,162
TEX,2007,68318675,46.2962963,TEX,75,162
TOR,2007,81942800,51.2345679,TOR,83,162
ARI,2007,52067546,55.55555556,ARI,90,162
ATL,2007,87290833,51.85185185,ATL,84,162
CHN,2007,99670332,52.4691358,CHC,85,162
CIN,2007,68524980,44.44444444,CIN,72,162
COL,2007,54041000,55.21472393,COL,90,163
FLO,2007,30507000,43.82716049,FLA,71,162
HOU,2007,87759000,45.0617284,HOU,73,162
LAN,2007,108454524,50.61728395,LAD,82,162
MIL,2007,70986500,51.2345679,MIL,83,162
NYN,2007,115231663,54.32098765,NYM,88,162
PHI,2007,89428213,54.9382716,PHI,89,162
PIT,2007,38537833,41.97530864,PIT,68,162
SDN,2007,58110567,54.60122699,SDP,89,163
